,Url,Text
0,https://cs.olemiss.edu/course-descriptions/,See below for the catalog descriptions of CSci undergraduate and graduate classes. Relevant Engr and Engs graduate level courses are also listed.
1,https://cs.olemiss.edu/course-descriptions/,The first digit of the course number more or less gives the year-level of the course in the curriculum. Courses numbered in the range 100-499 are undergraduate courses. Courses in the 500-599 range are available for both undergraduate and graduate students. Courses 600 and above are graduate courses.
2,https://cs.olemiss.edu/course-descriptions/,Visit the University’s main catalog to read descriptions of all University courses.
3,https://cs.olemiss.edu/course-descriptions/,"Introduction to computers and computing for students with no prior computer experience.(Not to be used to satisfy computer science major requirements).3 CreditsPREREQUISITESCourse cannot be booked if completed Csci 112 with a grade of C or better.INSTRUCTION TYPE(S)Lecture: Lecture for Csci 103Lecture: Web based lecture for Csci 103Lecture: iStudy for Csci 103Lecture: Independent Study for Csci 103Lecture: WEB Washington Internship for Csci 103COURSE FEE(S)Computer Science$50.00Online, Internet, or Web-basedStudents may be required to pay additional fees to an outside vendor for identity verification prior to a proctored assessment.$100.00 per 3 Semester Credit Hours$0.00 per 3 Semester Credit Hours"
4,https://cs.olemiss.edu/course-descriptions/,"Introduction to computer science with emphasis on problem solving and algorithm development. Using high-level, block-structured programming language, students design, implement, debug, test, and document computer programs for various applications.3 CreditsPREREQUISITESPre-requisite: Math ACT 22 or Math 121 (or above)INSTRUCTION TYPE(S)Lecture/Lab: Lecture/Lab for Csci 111COURSE FEE(S)Computer & Information Science$75.00"
5,https://cs.olemiss.edu/course-descriptions/,"Continuation of CSci 111 with emphasis on computer programming as a systematic discipline. The topics include data structures, abstract data types, algorithm design and analysis, and programming methods and standards.3 CreditsPREREQUISITESCSci 111: Computer Science I (Minimum grade: C-)INSTRUCTION TYPE(S)Lecture/Lab: Lecture/Lab for CSci 112COURSE FEE(S)Computer & Information Science$75.00"
6,https://cs.olemiss.edu/course-descriptions/,"Introduction to the use of computers with emphasis on the Windows platform and the Microsoft Office suite of application tools. (Not to be used to satisfy computer science major requirements).3 CreditsPREREQUISITESCannot book with Csci 112 Completed.INSTRUCTION TYPE(S)Lecture: Lecture for Csci 191Lecture: Web Based Lecture for Csci 191Lecture: iStudy for Csci 191Lecture: WEB Washington Internship for Csci 191COURSE FEE(S)Computer Science$50.00Online, Internet, or Web-basedStudents may be required to pay additional fees to an outside vendor for identity verification prior to a proctored assessment.$100.00 per 3 Semester Credit Hours$0.00 per 3 Semester Credit Hours"
7,https://cs.olemiss.edu/course-descriptions/,Introduction to the use of computers with emphasis on the Windows platform and the WordPerfect suite of application tools. (Not to be used to satisfy computer science major requirements).3 CreditsINSTRUCTION TYPE(S)Lecture: Lecture for Csci 192
8,https://cs.olemiss.edu/course-descriptions/,Study of the hardware and software components of personal computer systems for experienced computer users. (Not to be used to satisfy computer science major requirements).3 CreditsINSTRUCTION TYPE(S)Lecture: Lecture for Csci 193
9,https://cs.olemiss.edu/course-descriptions/,"This course introduces computing and programming with emphasis on interactive media, including graphics, images, animation, and sound. It explores core computing concepts such as variables, conditionals, loops, functions, objects, arrays, and algorithms3 CreditsPREREQUISITESPre-requisite: Math ACT 22 or Math 121 (or above)INSTRUCTION TYPE(S)Lecture: Lecture for Csci 203Lecture: Web-based Lecture for Csci 203COURSE FEE(S)Computer & Information Science$75.00"
